POSTE;NOM;LON;LAT;ALT;DATE;RR;QRR;TN;QTN;TX;QTX;TM;QTM;FFM;QFFM;UN;QUN;UX;QUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;UM;QUM
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200205;0;v;2,3;v;8,2;v;3,5;v;2,3;v;52;v;96;v;0;t;691;t;78;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200206;0;v;-1,5;v;9;v;2,9;v;1,9;v;31;v;92;v;187;t;575;t;65;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200207;0;v;-3,3;v;9,8;v;2,5;v;2;v;37;v;95;v;22;t;360;t;72;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200208;0;v;1,7;v;11,7;v;6,4;v;3,4;v;55;v;82;v;0;t;173;t;73;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200209;5,2;v;5,8;v;12,1;v;9,2;v;10,9;v;61;v;90;v;0;t;210;t;72;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200210;6;v;7,3;v;10,5;v;9;v;13,4;v;49;v;92;v;0;t;352;t;70;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200211;2;v;1,7;v;7,8;v;4,7;v;9,2;v;53;v;92;v;0;t;625;t;75;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200212;1,6;v;1,8;v;8,2;v;3,6;v;6,4;v;60;v;90;v;0;t;1216;t;82;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200213;9,7;v;2;v;7,7;v;5;v;8;v;58;v;93;v;0;t;801;t;79;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200214;0,2;v;5,4;v;8,9;v;6,6;v;4,8;v;72;v;93;v;0;t;1089;t;84;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200215;0;v;2,7;v;11,7;v;7,7;v;4,8;v;52;v;94;v;0;t;566;t;73;v
